132333333 tensor([8960,   11, 8908], device='cuda:1') 4 1
132333333 tensor([8960,   11, 8908], device='cuda:3') 4 3
132333333 tensor([8960,   11, 8908], device='cuda:2') 4 2
132333333 tensor([8960,   11, 8908], device='cuda:0') 4 0
132333333 tensor([8768,   13, 8702], device='cuda:7') 4 7
132333333 tensor([8768,   13, 8702], device='cuda:5') 4 5
132333333 tensor([8768,   13, 8702], device='cuda:4') 4 4
132333333 tensor([8768,   13, 8702], device='cuda:6') 4 6
132333333 tensor([8768,   11, 8757], device='cuda:1') 4 1
132333333 tensor([8768,   13, 8755], device='cuda:7') 4 7
132333333 tensor([8768,   13, 8755], device='cuda:5') 4 5
132333333 tensor([8768,   11, 8757], device='cuda:2') 4 2
132333333 tensor([8768,   11, 8757], device='cuda:0') 4 0
132333333 tensor([8768,   13, 8755], device='cuda:4') 4 4
132333333 tensor([8768,   11, 8757], device='cuda:3') 4 3
132333333 tensor([8768,   13, 8755], device='cuda:6') 4 6
132333333 tensor([8960,   14, 8932], device='cuda:1') 4 1
132333333 tensor([8960,   11, 8948], device='cuda:7') 4 7
132333333 tensor([8960,   11, 8948], device='cuda:6') 4 6
132333333 tensor([8960,   11, 8948], device='cuda:4') 4 4
132333333 tensor([8960,   11, 8948], device='cuda:5') 4 5
132333333 tensor([8960,   14, 8932], device='cuda:3') 4 3
132333333 tensor([8960,   14, 8932], device='cuda:2') 4 2
132333333 tensor([8960,   14, 8932], device='cuda:0') 4 0
132333333 tensor([8896,   14, 8852], device='cuda:1') 4 1
132333333 tensor([8960,    5, 8932], device='cuda:7') 4 7
132333333 tensor([8960,    5, 8932], device='cuda:5') 4 5
132333333 tensor([8960,    5, 8932], device='cuda:4') 4 4
132333333 tensor([8960,    5, 8932], device='cuda:6') 4 6
132333333 tensor([8896,   14, 8852], device='cuda:3') 4 3
132333333 tensor([8896,   14, 8852], device='cuda:0') 4 0
132333333 tensor([8896,   14, 8852], device='cuda:2') 4 2
132333333 tensor([8896,   11, 8882], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8882], device='cuda:0') 4 0
132333333 tensor([8960,   14, 8913], device='cuda:6') 4 6
132333333 tensor([8896,   11, 8882], device='cuda:2') 4 2
132333333 tensor([8960,   14, 8913], device='cuda:7') 4 7
132333333 tensor([8960,   14, 8913], device='cuda:4') 4 4
132333333 tensor([8960,   14, 8913], device='cuda:5') 4 5
132333333 tensor([8896,   11, 8882], device='cuda:3') 4 3
